iter	MultiClass
0	0.9660125068
1	0.8610481501
2	0.7762265328
3	0.7115938336
4	0.6580275346
5	0.6126540485
6	0.5762147707
7	0.5440726963
8	0.5142516339
9	0.4896625696
10	0.4686414247
11	0.4492814873
12	0.4341758797
13	0.4204151212
14	0.406795967
15	0.3956601499
16	0.3858801289
17	0.3774677985
18	0.3696385144
19	0.3636279607
20	0.3575938186
21	0.3524427076
22	0.3478129815
23	0.3436960084
24	0.3396103101
25	0.3365034975
26	0.3339313294
27	0.3315642501
28	0.3302744704
29	0.3283218886
30	0.3267514702
31	0.3250300651
32	0.3234630313
33	0.3224117024
34	0.3212653679
35	0.3202260675
36	0.3194579617
37	0.3187272022
38	0.3181732909
39	0.3175278562
40	0.3170869691
41	0.3161877068
42	0.3158817938
43	0.3152279814
44	0.314801601
45	0.314440538
46	0.3139418014
47	0.313358891
48	0.3129491975
49	0.3125269001
50	0.3124161091
51	0.3120115494
52	0.311612373
53	0.311396996
54	0.3109301083
55	0.3107190643
56	0.3104920191
57	0.3101325946
58	0.3099061858
59	0.3097986095
60	0.3095271942
61	0.3090499177
62	0.3088411384
63	0.3085431991
64	0.3083552164
65	0.3080289481
66	0.3079198432
67	0.3077686316
68	0.3073817814
69	0.3071782113
70	0.3070311559
71	0.306903478
72	0.3066333183
73	0.3064976195
74	0.3063207798
75	0.3061266376
76	0.3059379201
77	0.3055640769
78	0.3053178089
79	0.3051025668
80	0.3049150097
81	0.3048474023
82	0.3047083889
83	0.3045132681
84	0.3043013063
85	0.3041475178
86	0.3039505464
87	0.3037730821
88	0.3036997236
89	0.3035301199
90	0.3033196701
91	0.3031576397
92	0.3029834714
93	0.3028340137
94	0.3025853572
95	0.3024540799
96	0.3022083066
97	0.3020051098
98	0.3018859129
99	0.30172525
100	0.3014913048
101	0.3012648792
102	0.3011857694
103	0.3009505555
104	0.3007639058
105	0.3006582594
106	0.3003654895
107	0.3002315956
108	0.3000400969
109	0.2997078144
110	0.2994319255
111	0.2992118107
112	0.2991161268
113	0.2990103793
114	0.2988492286
115	0.2987829527
116	0.2986217781
117	0.2984542001
118	0.2983079624
119	0.2981206559
120	0.2979896798
121	0.2978970736
122	0.2976044415
123	0.2973482165
124	0.2972439511
125	0.2970763465
126	0.2968207687
127	0.2965036679
128	0.2963768524
129	0.2961746565
130	0.2961082247
131	0.2959984834
132	0.2958024371
133	0.2957152282
134	0.2956670233
135	0.295566363
136	0.2954282017
137	0.2953059075
138	0.2949577082
139	0.2947494253
140	0.2944275443
141	0.2942837173
142	0.2941867613
143	0.2940138059
144	0.2938551208
145	0.2937657457
146	0.2935406026
147	0.2933513345
148	0.2931361703
149	0.2930233753
150	0.2928331402
151	0.2927571167
152	0.2924644925
153	0.2922903191
154	0.2921293721
155	0.2920211802
156	0.2918531552
157	0.2915174675
158	0.2914524319
159	0.2912914353
160	0.2912028622
161	0.2910671708
162	0.2910152339
163	0.2908693795
164	0.2907665505
165	0.2905309702
166	0.2903484088
167	0.2902486801
168	0.2899993851
169	0.2898734606
170	0.2897807202
171	0.2896796138
172	0.2895080529
173	0.2894123624
174	0.2893028382
175	0.2892182744
176	0.2891374959
177	0.2890503568
178	0.288956524
179	0.2888242399
180	0.2886019313
181	0.2885603003
182	0.2884568235
183	0.2882796637
184	0.2882060282
185	0.2881063222
186	0.2880099908
187	0.2878900646
188	0.2877927501
189	0.2875832464
190	0.2874609029
191	0.2873387404
192	0.2871846357
193	0.2870663782
194	0.2869134168
195	0.2868461787
196	0.2867727453
197	0.2865678053
198	0.2865098974
199	0.2864242754
200	0.2863292055
201	0.2862235685
202	0.2861300203
203	0.2859946899
204	0.2859070508
205	0.2858249354
206	0.2857690618
207	0.2856439056
208	0.2855200942
209	0.2854351489
210	0.285236775
211	0.2851632968
212	0.2849803677
213	0.2849059493
214	0.2847895805
215	0.2846711105
216	0.2845389285
217	0.2844289359
218	0.2842517215
219	0.2841704653
220	0.284118374
221	0.2840144407
222	0.2837648256
223	0.2835937069
224	0.283433693
225	0.2831850283
226	0.2831500385
227	0.2830874284
228	0.2830181316
229	0.2828696387
230	0.2826734371
231	0.2826131479
232	0.2825205455
233	0.2824231104
234	0.2822894707
235	0.2821598709
236	0.2821082564
237	0.28197295
238	0.2819273956
239	0.2817426432
240	0.281701084
241	0.2815553286
242	0.2814194368
243	0.2811752105
244	0.2811113543
245	0.2810331972
246	0.280951396
247	0.2808772543
248	0.280777437
249	0.2807172135
250	0.2805742007
251	0.2805200771
252	0.2804268981
253	0.2803447787
254	0.2802930883
255	0.2801077306
256	0.2800022949
257	0.2799327932
258	0.2797793524
259	0.2796777988
260	0.2794824863
261	0.2794203192
262	0.2793169512
263	0.2792121338
264	0.279081343
265	0.2789861455
266	0.2788066992
267	0.2787690784
268	0.2786443825
269	0.2785034005
270	0.2782824877
271	0.2779471622
272	0.2778132373
273	0.2777170243
274	0.2775865909
275	0.2774829626
276	0.277366322
277	0.2772849992
278	0.2771604599
279	0.2770455737
280	0.2768459562
281	0.2767462621
282	0.276633192
283	0.2765690141
284	0.2764695312
285	0.2763028778
286	0.2761858523
287	0.276101286
288	0.276040902
289	0.2759245042
290	0.2757693622
291	0.2756657542
292	0.2756260978
293	0.2755495381
294	0.2754417443
295	0.275361648
296	0.2752924146
297	0.2751659505
298	0.2750124666
299	0.2749123722
