iter	Passed	Remaining
0	9	2746
1	16	2520
2	23	2321
3	30	2251
4	36	2175
5	42	2076
6	49	2063
7	55	2019
8	61	1990
9	67	1968
10	74	1952
11	81	1944
12	87	1920
13	93	1916
14	99	1885
15	105	1881
16	112	1868
17	118	1853
18	125	1849
19	132	1848
20	138	1835
21	145	1838
22	151	1819
23	158	1825
24	165	1823
25	173	1823
26	179	1817
27	185	1803
28	193	1804
29	201	1815
30	208	1812
31	217	1820
32	226	1831
33	234	1833
34	243	1847
35	251	1846
36	260	1851
37	268	1850
38	277	1854
39	285	1852
40	294	1861
41	306	1879
42	317	1897
43	326	1899
44	336	1909
45	345	1910
46	356	1918
47	367	1928
48	378	1937
49	389	1945
50	400	1954
51	410	1957
52	419	1954
53	428	1951
54	437	1949
55	446	1946
56	456	1945
57	465	1944
58	476	1945
59	484	1939
60	493	1935
61	502	1927
62	509	1916
63	516	1904
64	525	1898
65	532	1887
66	540	1880
67	550	1877
68	558	1870
69	567	1863
70	577	1862
71	593	1880
72	606	1887
73	621	1896
74	636	1908
75	651	1920
76	671	1943
77	690	1965
78	700	1959
79	708	1949
80	716	1936
81	723	1923
82	732	1914
83	738	1899
84	753	1904
85	765	1904
86	777	1902
87	785	1893
88	796	1888
89	805	1879
90	813	1869
91	821	1857
92	828	1843
93	836	1834
94	845	1823
95	855	1818
96	866	1812
97	873	1800
98	885	1797
99	893	1786
100	904	1782
101	915	1777
102	926	1772
103	937	1766
104	946	1757
105	953	1745
106	964	1739
107	971	1727
108	978	1714
109	985	1701
110	994	1693
111	1000	1679
112	1007	1667
113	1013	1654
114	1020	1642
115	1026	1628
116	1034	1617
117	1040	1604
118	1048	1594
119	1055	1582
120	1063	1573
121	1070	1561
122	1080	1554
123	1088	1545
124	1096	1534
125	1107	1528
126	1116	1520
127	1125	1512
128	1134	1503
129	1142	1494
130	1150	1483
131	1159	1475
132	1167	1465
133	1175	1455
134	1183	1446
135	1191	1437
136	1199	1427
137	1207	1416
138	1218	1411
139	1227	1403
140	1237	1395
141	1246	1386
142	1256	1380
143	1265	1370
144	1276	1364
145	1285	1356
146	1292	1345
147	1301	1336
148	1310	1328
149	1318	1318
150	1328	1310
151	1336	1301
152	1345	1292
153	1353	1283
154	1361	1273
155	1368	1262
156	1375	1252
157	1381	1241
158	1386	1229
159	1392	1218
160	1398	1207
161	1404	1196
162	1410	1185
163	1416	1174
164	1423	1164
165	1430	1154
166	1436	1143
167	1442	1133
168	1447	1122
169	1454	1112
170	1459	1101
171	1465	1090
172	1472	1080
173	1477	1069
174	1483	1059
175	1488	1048
176	1494	1038
177	1500	1028
178	1506	1018
179	1511	1007
180	1517	997
181	1522	987
182	1528	977
183	1535	967
184	1541	958
185	1547	948
186	1554	939
187	1562	930
188	1570	922
189	1578	914
190	1586	905
191	1594	896
192	1603	888
193	1610	879
194	1617	870
195	1624	862
196	1630	852
197	1637	843
198	1643	834
199	1650	825
200	1656	816
201	1662	806
202	1667	796
203	1673	787
204	1679	778
205	1685	769
206	1691	759
207	1697	750
208	1703	741
209	1709	732
210	1715	723
211	1722	714
212	1727	705
213	1734	696
214	1739	687
215	1745	678
216	1752	670
217	1758	661
218	1763	652
219	1769	643
220	1774	634
221	1780	625
222	1786	616
223	1793	608
224	1799	599
225	1804	590
226	1809	581
227	1815	573
228	1821	564
229	1828	556
230	1834	547
231	1840	539
232	1847	531
233	1852	522
234	1858	514
235	1864	505
236	1871	497
237	1878	489
238	1883	480
239	1890	472
240	1897	464
241	1903	456
242	1908	447
243	1915	439
244	1921	431
245	1928	423
246	1934	415
247	1940	406
248	1946	398
249	1952	390
250	1957	382
251	1964	374
252	1969	365
253	1975	357
254	1981	349
255	1987	341
256	1994	333
257	2001	325
258	2006	317
259	2012	309
260	2018	301
261	2025	293
262	2031	285
263	2036	277
264	2042	269
265	2048	261
266	2054	253
267	2060	245
268	2065	238
269	2073	230
270	2079	222
271	2086	214
272	2093	207
273	2100	199
274	2108	191
275	2117	184
276	2125	176
277	2132	168
278	2140	161
279	2146	153
280	2156	145
281	2166	138
282	2174	130
283	2182	122
284	2190	115
285	2198	107
286	2209	100
287	2218	92
288	2228	84
289	2236	77
290	2245	69
291	2253	61
292	2262	54
293	2272	46
294	2279	38
295	2290	30
296	2297	23
297	2304	15
298	2312	7
299	2319	0
